#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#default,mean,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device,name,type
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-23T08:12:00Z,0.5001311303435615,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-23T18:40:00Z,0.500135098621994,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-24T05:08:00Z,0.49972222222222223,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-24T15:36:00Z,0.5,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-25T02:04:00Z,0.500134372480516,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-25T12:32:00Z,0.49986641731231635,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-25T23:00:00Z,0.5,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-26T09:28:00Z,0.5001340123291342,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-26T19:56:00Z,0.5001356116083536,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-27T06:24:00Z,0.5,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-27T16:52:00Z,0.49986577181208053,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-28T03:20:00Z,0.49986684420772304,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-28T13:48:00Z,0.5001330849081714,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-29T00:16:00Z,0.5,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-29T10:44:00Z,0.5,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-29T21:12:00Z,0.4998652654271086,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-30T07:40:00Z,0.5,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-30T18:08:00Z,0.500132170235263,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-31T04:36:00Z,0.5,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-31T15:04:00Z,0.5,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-01T01:32:00Z,0.5,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-01T12:00:00Z,0.5,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-01T22:28:00Z,0.5001341561577677,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-02T08:56:00Z,0.5,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-02T19:24:00Z,0.5,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
